0.9	-0.895524	-1.28928
0.91	-0.895524	-1.28928
0.91	-0.908033	-1.2124
0.92	-0.908033	-1.2124
0.92	-0.919769	-1.13479
0.93	-0.919769	-1.13479
0.93	-0.930726	-1.05651
0.94	-0.930726	-1.05651
0.94	-0.940897	-0.977606
0.95	-0.940897	-0.977606
0.95	-0.950276	-0.89814
0.96	-0.950276	-0.89814
0.96	-0.958858	-0.818163
0.97	-0.958858	-0.818163
0.97	-0.966638	-0.737724
0.98	-0.966638	-0.737724
0.98	-0.973611	-0.656875
0.99	-0.973611	-0.656875
0.99	-0.979774	-0.575663
1	-0.979774	-0.575663
1	-0.985124	-0.494138
1.01	-0.985124	-0.494138
1.01	-0.989656	-0.412344
1.02	-0.989656	-0.412344
1.02	-0.99337	-0.330329
1.03	-0.99337	-0.330329
1.03	-0.996262	-0.248137
1.04	-0.996262	-0.248137
1.04	-0.998332	-0.165812
1.05	-0.998332	-0.165812
1.05	-0.999578	-0.0833997
1.06	-0.999578	-0.0833997
1.06	-1	-0.000943104
1.07	-1	-0.000943104
1.07	-0.999597	0.081514
1.08	-0.999597	0.081514
1.08	-0.99837	0.163928
1.09	-0.99837	0.163928
1.09	-0.996319	0.246255
1.1	-0.996319	0.246255
1.1	-0.993445	0.328451
1.11	-0.993445	0.328451
1.11	-0.98975	0.410471
1.12	-0.98975	0.410471
1.12	-0.985236	0.49227
1.13	-0.985236	0.49227
1.13	-0.979906	0.573802
1.14	-0.979906	0.573802
1.14	-0.973761	0.655021
1.15	-0.973761	0.655021
1.15	-0.966807	0.735879
1.16	-0.966807	0.735879
1.16	-0.959045	0.816328
1.17	-0.959045	0.816328
1.17	-0.950482	0.896317
1.18	-0.950482	0.896317
1.18	-0.941121	0.975795
1.19	-0.941121	0.975795
1.19	-0.930968	1.05471
1.2	-0.930968	1.05471
1.2	-0.920028	1.13301
1.21	-0.920028	1.13301
1.21	-0.90831	1.21063
1.22	-0.90831	1.21063
1.22	-0.895818	1.28753
1.23	-0.895818	1.28753
1.23	-0.882562	1.36363
1.24	-0.882562	1.36363
1.24	-0.868548	1.43889
1.25	-0.868548	1.43889
1.25	-0.853787	1.51324
1.26	-0.853787	1.51324
1.26	-0.838287	1.58661
1.27	-0.838287	1.58661
1.27	-0.822058	1.65894
1.28	-0.822058	1.65894
1.28	-0.805112	1.73017
1.29	-0.805112	1.73017
1.29	-0.787459	1.80022
1.3	-0.787459	1.80022
