3.13	11.8972
3.14	12.0055
3.15	12.1148
3.16	12.2248
3.17	12.3357
3.18	12.4475
3.19	12.5601
3.2	12.6736
3.21	12.788
3.22	12.9032
3.23	13.0193
3.24	13.1363
3.25	13.2542
3.26	13.3729
3.27	13.4926
3.28	13.6131
3.29	13.7346
3.3	13.857
3.31	13.9803
3.32	14.1045
3.33	14.2297
3.34	14.3558
3.35	14.4828
3.36	14.6107
3.37	14.7396
3.38	14.8695
3.39	15.0003
3.4	15.1321
3.41	15.2648
3.42	15.3986
3.43	15.5333
3.44	15.6689
3.45	15.8056
3.46	15.9433
3.47	16.0819
3.48	16.2216
3.49	16.3622
3.5	16.5039
3.51	16.6466
3.52	16.7903
3.53	16.9351
3.54	17.0809
3.55	17.2277
3.56	17.3756
3.57	17.5245
3.58	17.6745
3.59	17.8255
3.6	17.9776
3.61	18.1308
3.62	18.285
3.63	18.4404
3.64	18.5968
3.65	18.7543
3.66	18.9129
3.67	19.0727
3.68	19.2335
3.69	19.3954
3.7	19.5585
3.71	19.7227
3.72	19.888
3.73	20.0545
3.74	20.2221
3.75	20.3909
3.76	20.5608
3.77	20.7319
3.78	20.9041
3.79	21.0775
3.8	21.2521
3.81	21.4279
3.82	21.6048
3.83	21.783
3.84	21.9623
3.85	22.1429
3.86	22.3247
3.87	22.5077
3.88	22.6919
3.89	22.8773
3.9	23.064
3.91	23.2519
3.92	23.4411
3.93	23.6315
3.94	23.8232
3.95	24.0161
3.96	24.2103
3.97	24.4058
3.98	24.6026
3.99	24.8006
4	25
4.01	25.2007
4.02	25.4026
4.03	25.6059
4.04	25.8105
4.05	26.0164
4.06	26.2236
4.07	26.4322
4.08	26.6421
4.09	26.8534
4.1	27.066
4.11	27.28
4.12	27.4953
4.13	27.7121
4.14	27.9302
4.15	28.1497
4.16	28.3705
4.17	28.5928
4.18	28.8165
4.19	29.0416
4.2	29.2681
4.21	29.496
4.22	29.7254
4.23	29.9562
4.24	30.1884
4.25	30.4221
4.26	30.6573
4.27	30.8939
4.28	31.1319
4.29	31.3715
4.3	31.6125
4.31	31.855
4.32	32.099
4.33	32.3445
4.34	32.5915
4.35	32.8401
4.36	33.0901
4.37	33.3417
4.38	33.5948
4.39	33.8494
4.4	34.1056
4.41	34.3633
4.42	34.6226
4.43	34.8835
4.44	35.1459
4.45	35.4099
4.46	35.6755
